Link,heat,rank,lane,last_name,first_name,reaction_time,split_50m,split_100m,split_150m,split_200m,split_250m,split_300m,split_350m,final_time
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,1,4,SUTTON,Chloe,0.72,29.04,1:00.01,1:31.07,2:02.52,2:33.52,3:04.49,3:35.25,4:05.19
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,2,5,GOLDMAN,Katie,0.76,28.78,59.88,1:31.24,2:02.79,2:34.25,3:05.34,3:36.18,4:05.84
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,3,6,EVANS,Blair,0.77,28.37,59.72,1:31.08,2:02.74,2:34.11,3:05.50,3:36.42,4:06.36
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,4,3,SCHMITT,Allison,0.8,29.50,1:00.60,1:31.61,2:02.88,2:34.02,3:05.40,3:36.58,4:06.73
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,5,2,BOYLE,Lauren,0.9,29.47,1:01.00,1:32.86,2:04.40,2:36.05,3:07.63,3:39.02,4:09.59
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,6,8,JARDIN,Barbara,0.76,29.56,1:01.30,1:33.03,2:05.03,2:36.87,3:08.78,3:40.62,4:11.53
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,7,7,KOMARNYCKY,Alexandra,0.79,29.48,1:00.99,1:32.84,2:04.71,2:36.66,3:08.68,3:41.05,4:12.67
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final A,8,1,YANO,Yurie,0.77,29.79,1:01.74,1:33.76,2:05.92,2:38.05,3:10.60,3:43.34,4:14.95
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,1,4,ZIEGLER,Kate,0.76,29.19,1:00.26,1:31.33,2:02.87,2:34.17,3:05.17,3:36.09,4:05.52
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,2,5,PALMER,Kylie,0.74,29.29,1:00.67,1:32.37,2:04.23,2:36.23,3:07.89,3:39.79,4:11.17
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,3,3,CHEVERTON,Samantha,0.73,29.31,1:01.09,1:32.85,2:04.85,2:36.58,3:08.51,3:40.70,4:12.53
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,4,7,KING,Savannah,0.84,30.07,1:01.90,1:33.99,2:06.17,2:38.43,3:10.54,3:42.63,4:13.34
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,5,6,KIDA,Yumi,0.75,29.85,1:01.73,1:33.70,2:05.99,2:38.19,3:10.57,3:43.01,4:14.33
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,6,2,YONENAGA,Chika,0.9,30.34,1:02.44,1:34.60,2:07.44,2:40.02,3:13.14,3:46.19,4:18.22
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,7,1,LYRIO,Manuella,0.73,30.07,1:02.89,1:35.29,2:08.24,2:40.74,3:14.06,3:46.76,4:18.47
https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf,Final B,8,8,NAM,Carmen,0.91,30.51,1:03.19,1:37.40,2:11.44,2:45.45,3:19.43,3:53.65,4:26.38
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,1,7,NAKAMURA,Sakiko,0.78,28.94,1:00.28,1:31.58,2:02.92,2:34.15,3:05.47,3:36.43,4:06.73
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,2,4,BIAGIOLI,Cecilia,0.82,28.89,59.44,1:30.65,2:02.10,2:33.31,3:04.91,3:36.71,4:08.33
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,3,5,OKIMOTO,Poliana,0.8,29.34,1:00.36,1:31.68,2:03.46,2:35.16,3:06.99,3:38.89,4:10.06
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,4,2,KOGUCHI,Ayano,0.78,28.60,59.40,1:31.01,2:03.12,2:35.42,3:08.42,3:40.76,4:13.24
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,5,6,CORREA,Sarah,0.83,29.38,1:00.77,1:32.49,2:04.43,2:36.65,3:09.17,3:41.69,4:13.66
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,6,3,CUNHA,Ana Marcela,0.75,29.23,1:00.53,1:32.48,2:04.84,2:37.25,3:09.76,3:42.65,4:14.22
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,7,1,FERREIRA,Monique,0.7,29.51,1:01.31,1:33.62,2:06.18,2:39.35,3:12.90,3:46.73,4:19.74
https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf,Final,8,8,SONG,Yang,0.83,29.62,1:01.57,1:34.06,2:07.20,2:40.53,3:13.97,3:47.53,4:19.88
https://www.omegatiming.com/File/00010A0C0020000000FFFFFFFFFFFF01.pdf,Final A,1,5,CHENAULT,Chelsea,0.77,28.63,1:00.19,1:32.26,2:04.50,2:36.21,3:08.33,3:39.93,4:11.37
https://www.omegatiming.com/File/00010A0C0020000000FFFFFFFFFFFF01.pdf,Final A,2,3,RYAN,Gillian,0.72,30.04,1:02.15,1:34.50,2:06.86,2:38.75,3:10.98,3:42.26,4:13.25
https://www.omegatiming.com/File/00010A0C0020000000FFFFFFFFFFFF01.pdf,Final A,3,6,SMITH,Leah,0.8,29.78,1:01.69,1:34.38,2:07.42,2:40.20,3:13.22,3:45.46,4:16.69
